MUKEY	SILT	CLAY	OM	BD	AREA
363174	26.2000	37.9000	1.4400	0.0000	TX041
363175	30.4000	41.2000	1.5600	0.0000	TX041
363176	27.7000	41.5000	1.4500	0.0000	TX041
363177	29.8000	29.5000	1.5000	0.0000	TX041
363178	29.4000	32.2000	1.4800	0.0000	TX041
363179	28.4000	38.8000	1.4000	0.0000	TX041
363180	28.6000	48.6000	1.3900	0.0000	TX041
363181	28.8000	48.3000	1.3800	0.0000	TX041
363182	28.6000	48.8000	1.3600	0.0000	TX041
363183	22.7000	37.9000	1.4500	0.0000	TX041
363184	28.2000	42.6000	1.3800	0.0000	TX041
363185	21.1000	29.7000	1.5000	0.0000	TX041
363186	17.8000	28.0000	1.4700	0.0000	TX041
363187	64.4000	15.8000	1.2900	0.0000	TX041
363188	26.4000	38.2000	1.5400	0.0000	TX041
363189	36.2000	36.4000	1.5600	0.0000	TX041
363190	32.3000	34.8000	1.5300	0.0000	TX041
363191	12.8000	11.0000	1.4700	0.0000	TX041
363192	27.9000	50.0000	1.3300	0.0000	TX041
363193	12.9000	16.4000	1.4700	0.0000	TX041
363194	14.5000	6.2000	1.4700	0.0000	TX041
363195	26.8000	37.1000	1.3900	0.0000	TX041
363196	23.3000	58.0000	1.3600	0.0000	TX041
363197	29.7000	30.8000	1.4500	0.0000	TX041
363198	21.4000	29.9000	1.4600	0.0000	TX041
363199	24.8000	28.2000	1.4500	0.0000	TX041
363200	32.4000	32.0000	1.4500	0.0000	TX041
363201	27.9000	50.0000	1.2800	0.0000	TX041
363202	33.3000	42.5000	1.3600	0.0000	TX041
363203	21.0000	70.0000	1.3400	0.0000	TX041
363204	9.4000	7.5000	1.4800	0.0000	TX041
363205	28.2000	45.2000	1.4200	0.0000	TX041
363206	28.4000	45.5000	1.4200	0.0000	TX041
363207	33.4000	29.9000	1.5300	0.0000	TX041
363208	36.5000	47.5000	1.3800	0.0000	TX041
363209	29.2000	47.5000	1.3900	0.0000	TX041
363210	30.4000	40.0000	1.5500	0.0000	TX041
363211	30.1000	40.7000	1.5500	0.0000	TX041
363212	17.4000	11.3000	1.5100	0.0000	TX041
363213	12.8000	11.8000	1.4800	0.0000	TX041
363214	0.0000	0.0000	0.0000	0.0000	TX041
363215	17.1000	29.5000	1.5400	0.0000	TX041
363216	27.1000	26.3000	1.4900	0.0000	TX041
363217	21.3000	21.3000	1.4800	0.0000	TX041
363218	19.0000	21.4000	1.5800	0.0000	TX041
363219	25.0000	61.0000	1.2800	0.0000	TX041
363220	32.0000	32.3000	1.4900	0.0000	TX041
363221	33.4000	30.6000	1.4900	0.0000	TX041
363222	27.2000	37.5000	1.5000	0.0000	TX041
363223	23.1000	30.7000	1.4900	0.0000	TX041
363224	35.2000	24.6000	1.4400	0.0000	TX041
363225	35.2000	24.6000	1.4400	0.0000	TX041
363226	25.8000	36.7000	1.5000	0.0000	TX041
363227	34.3000	64.7000	1.3700	0.0000	TX041
363228	34.3000	64.7000	1.3700	0.0000	TX041
363229	20.9000	17.7000	1.4200	0.0000	TX041
363230	18.6000	20.2000	1.5000	0.0000	TX041
363231	18.7000	18.1000	1.5000	0.0000	TX041
363232	25.5000	31.8000	1.4900	0.0000	TX041
363233	22.4000	26.9000	1.5100	0.0000	TX041
363234	12.6000	22.6000	1.4900	0.0000	TX041
363235	28.4000	36.2000	1.5000	0.0000	TX041
363236	27.2000	33.2000	1.5200	0.0000	TX041
363237	28.2000	33.0000	1.5300	0.0000	TX041
363246	39.1000	22.7000	1.4100	0.0000	TX041
363247	0.0000	0.0000	0.0000	0.0000	TX041
