Y X Exist
 30.1875 -96.5625 0
 30.1875 -96.6875 0
 30.1875 -96.8125 0
 30.1875 -96.9375 0
 30.1875 -97.0625 0
 30.1875 -97.1875 0
 30.3125 -96.3125 1
 30.3125 -96.4375 0
 30.3125 -96.5625 0
 30.3125 -96.6875 0
 30.3125 -96.8125 0
 30.3125 -96.9375 1
 30.3125 -97.0625 0
 30.3125 -97.1875 0
 30.3125 -97.3125 1
 30.4375 -96.3125 0
 30.4375 -96.4375 0
 30.4375 -96.5625 0
 30.4375 -96.6875 0
 30.4375 -96.8125 1
 30.4375 -96.9375 0
 30.4375 -97.0625 0
 30.4375 -97.1875 0
 30.4375 -97.3125 0
 30.5625 -96.5625 0
 30.5625 -96.6875 0
 30.5625 -96.8125 0
 30.5625 -96.9375 0
 30.5625 -97.0625 0
 30.5625 -97.1875 0
 30.6875 -96.8125 0
 30.6875 -96.9375 0
 30.6875 -97.0625 0
