AREASYMBOL,SPATIALVER,MUSYM,MUKEY,MUKEY_1,Clay
TX041,"5",KuD,"363206","363206",45.50000000000
TX041,"5",RoB,"363218","363218",21.40000000000
TX041,"5",RaB,"363215","363215",29.50000000000
TX041,"5",SnB,"363232","363232",31.80000000000
TX041,"5",SnB,"363232","363232",31.80000000000
TX041,"5",DeA,"363190","363190",34.80000000000
TX041,"5",Wy,"363252","363252",15.10000000000
TX041,"5",RoB,"363218","363218",21.40000000000
TX041,"5",GrC,"363197","363197",30.80000000000
TX041,"5",BwC,"363183","363183",37.90000000000
TX041,"5",PaC,"363213","363213",11.80000000000
TX041,"5",KrD,"363204","363204",7.50000000000
TX041,"5",SmC,"363230","363230",20.20000000000
TX041,"5",SmD,"363231","363231",18.10000000000
TX041,"5",ShA,"363227","363227",64.70000000000
TX041,"5",BwC,"363183","363183",37.90000000000
TX041,"5",SkB,"363229","363229",17.70000000000
TX041,"5",GrC,"363197","363197",30.80000000000
TX041,"5",SnB,"363232","363232",31.80000000000
TX041,"5",DuC,"363193","363193",16.40000000000
TX041,"5",RaB,"363215","363215",29.50000000000
TX041,"5",SkB,"363229","363229",17.70000000000
TX041,"5",BwC,"363183","363183",37.90000000000
TX041,"5",PaC,"363213","363213",11.80000000000
TX041,"5",SmD,"363231","363231",18.10000000000
TX041,"5",Pt,"363214","363214",0.00000000000
TX041,"5",RaB,"363215","363215",29.50000000000
TX041,"5",ShC,"363228","363228",64.70000000000
TX041,"5",GrD,"363199","363199",28.20000000000
TX041,"5",BoB,"363178","363178",32.20000000000
TX041,"5",GrC,"363197","363197",30.80000000000
TX041,"5",BrB,"363179","363179",38.80000000000
TX041,"5",DeA,"363190","363190",34.80000000000
TX041,"5",BwD,"363184","363184",42.60000000000
TX041,"5",GrC,"363197","363197",30.80000000000
TX041,"5",BuB,"363181","363181",48.30000000000
TX041,"5",KuD,"363206","363206",45.50000000000
TX041,"5",TaA,"363235","363235",36.20000000000
TX041,"5",TgB,"363236","363236",33.20000000000
TX041,"5",ChC,"363185","363185",29.70000000000
TX041,"5",RoB,"363218","363218",21.40000000000
TX041,"5",PaC,"363213","363213",11.80000000000
TX041,"5",RoB,"363218","363218",21.40000000000
TX041,"5",GrC,"363197","363197",30.80000000000
TX041,"5",SxB,"363234","363234",22.60000000000
TX041,"5",TgB,"363236","363236",33.20000000000
