OBJECTID,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,Shape_Length,Shape_Area
1,TX041,5,Wy,363252,833.988126142844635,35539.872024062773562
2,TX041,5,Wy,363252,1619.831244969308273,136664.228748165711295
3,TX041,5,WeC,363250,3429.824359707193707,133305.567896549910074
4,TX041,5,Rr,363219,1683.708451368525402,86030.015540825406788
5,TX041,5,W,363255,13639.522523360030391,284395.617882821708918
6,TX041,5,WeA,363249,1053.532169309354686,70405.015151224069996
7,TX041,5,WeA,363249,1398.854839493445979,97903.313171835732646
8,TX041,5,HbA,363202,2903.079285835510291,128059.631299189815763
9,TX041,5,Wy,363252,4762.537691431331041,317088.656964573077857
10,TX041,5,ShA,363227,2187.953086570563300,182967.933447033836273
11,TX041,5,WeA,363249,1910.038689228210842,154877.082339667103952
12,TX041,5,Rr,363219,2550.699387775570813,87022.926718782109674
13,TX041,5,Wy,363252,922.174612282455087,6193.683202422401337
14,TX041,5,ShA,363227,7466.870236617751289,1610246.935249013360590
15,TX041,5,ShA,363227,1878.493419834174574,141230.407977958122501
16,TX041,5,HbA,363202,5830.279709433208154,647717.708408036967739
17,TX041,5,WeA,363249,1880.583868891788597,69822.095125326522975
18,TX041,5,WeC,363250,1332.737656821599103,69724.663996145609417
19,TX491,7,CrC3,373536,1365.979547140794466,88696.225889041437767
20,TX491,7,HeiD3,373557,378.534574550453556,6478.439583947024403
21,TX491,7,RkD,373570,7212.725650092953401,981331.925266254576854
22,TX491,7,WlA,373580,2029.901880336112072,113856.158208095395821
23,TX491,7,RoC,373571,6163.975858951880582,524247.717277793854009
24,TX491,7,RaB,373569,6265.457580283106836,333086.636373647837900
25,TX491,7,HeiD3,373557,2803.036182957709570,161704.034455485292710
26,TX491,7,BeB,373522,4468.484540153331182,191779.249824466300197
27,TX491,7,BeC3,373523,13033.382207637463580,1185003.802831055363640
28,TX491,7,BeC3,373523,1468.210231538163953,80448.244025643740315
29,TX491,7,BeB,373522,5561.434040513869149,489445.161769083118998
30,TX491,7,BeC3,373523,2110.650586459047190,87718.423463695056853
31,TX491,7,BeC3,373523,87.838944469901392,238.458660491713346
32,TX491,7,DfA,373538,6608.303015070273432,286250.839377242838964
33,TX491,7,CrB,373535,4483.501141438088780,255520.050522560632089
34,TX491,7,HeiD3,373557,2867.954773581272093,156477.313526308978908
35,TX491,7,CrC3,373536,1399.262898344445603,53929.095005723342183
36,TX491,7,RbtF,373539,1557.954530524647225,86189.905661061216961
37,TX491,7,UhA,373576,864.731439432520119,22989.175756938035192
38,TX491,7,RaB,373569,824.933934475787623,18326.678779258567374
39,TX491,7,RbtF,373539,900.777421920667848,59578.701029836796806
40,TX491,7,RoC,373571,821.657905606292729,34332.052347862838360
41,TX491,7,RoC,373571,1501.020974893285029,113835.768341606832109
42,TX491,7,AxC3,373521,1555.656888842414673,49963.341775175256771
43,TX491,7,PaD,373567,1412.659653531192362,102998.098439963418059
44,TX491,7,AxC3,373521,1270.194420804662059,68197.570080760226119
45,TX491,7,RaB,373569,786.139079786953630,28808.938902359644999
46,TX491,7,RoC,373571,719.209142071222004,27855.324967019012547
47,TX491,7,PaD,373567,2993.060341800195602,246507.751678934029769
48,TX491,7,RoC,373571,1749.898919028268665,115950.967578084120760
49,TX491,7,RoC,373571,2966.308023479955864,297301.743435233132914
50,TX491,7,BeC3,373523,5115.882428742705088,875721.685415617772378
51,TX491,7,RaB,373569,10469.598143769138915,637248.520143296918832
52,TX491,7,RbtF,373539,1108.360467060827887,44173.203256997505378
53,TX491,7,RbtF,373539,3613.524053791121787,136319.320729554456193
54,TX491,7,AxC3,373521,767.485025321900821,28942.410938302400609
55,TX491,7,UhA,373576,52658.384802338980080,3060291.770730111747980
56,TX491,7,CrC3,373536,1181.688560422954424,43787.111390909216425
57,TX491,7,CrC3,373536,1036.598411755893267,60600.890644393832190
58,TX491,7,WlB,373581,2449.239560592784528,117917.209365143033210
59,TX491,7,BeC3,373523,5046.255406127710557,290240.108421418524813
60,TX491,7,WlB,373581,1536.690824329868974,75725.426549272000557
61,TX491,7,CrC3,373536,1304.458824588661855,83159.000827156240121
62,TX491,7,PaD,373567,650.700682651565444,30028.218806346376368
63,TX491,7,BeC3,373523,1031.673688421507904,50439.161299284693087
64,TX491,7,CrB,373535,1416.374027004694426,71101.591074771218700
65,TX491,7,HeiD3,373557,3614.503763095462546,132181.233860132866539
66,TX491,7,TnA,373575,2369.266693814187420,90958.157791526871733
67,TX491,7,DfA,373538,3382.565702458652595,166359.861753143195529
68,TX491,7,RaB,373569,1099.980388800585615,36409.715995575963461
69,TX491,7,AxC3,373521,2006.766713779534030,133128.053228261560434
70,TX491,7,BeB,373522,5986.851878639463393,263007.287082566646859
