Y X
30.0625 -96.0625
30.0625 -96.1875
30.0625 -96.3125
30.0625 -96.4375
30.0625 -96.5625
30.0625 -96.6875
30.0625 -96.8125
30.0625 -96.9375
30.0625 -97.0625
30.0625 -97.1875
30.0625 -97.3125
30.0625 -97.4375
30.0625 -97.5625
30.0625 -97.8125
30.0625 -97.9375
30.1875 -96.0625
30.1875 -96.1875
30.1875 -96.3125
30.1875 -96.4375
30.1875 -96.5625
30.1875 -96.6875
30.1875 -96.8125
30.1875 -96.9375
30.1875 -97.0625
30.1875 -97.1875
30.1875 -97.3125
30.1875 -97.4375
30.1875 -97.5625
30.1875 -97.6875
30.1875 -97.8125
30.1875 -97.9375
30.3125 -96.0625
30.3125 -96.1875
30.3125 -96.4375
30.3125 -96.5625
30.3125 -96.6875
30.3125 -96.8125
30.3125 -97.0625
30.3125 -97.1875
30.3125 -97.4375
30.3125 -97.5625
30.3125 -97.6875
30.3125 -97.8125
30.4375 -96.0625
30.4375 -96.1875
30.4375 -96.3125
30.4375 -96.4375
30.4375 -96.5625
30.4375 -96.6875
30.4375 -96.9375
30.4375 -97.0625
30.4375 -97.1875
30.4375 -97.3125
30.4375 -97.4375
30.4375 -97.5625
30.4375 -97.6875
30.4375 -97.8125
30.4375 -97.9375
30.5625 -96.1875
30.5625 -96.3125
30.5625 -96.4375
30.5625 -96.5625
30.5625 -96.6875
30.5625 -96.8125
30.5625 -96.9375
30.5625 -97.0625
30.5625 -97.1875
30.5625 -97.3125
30.5625 -97.4375
30.5625 -97.5625
30.5625 -97.6875
30.5625 -97.8125
30.5625 -97.9375
30.6875 -96.0625
30.6875 -96.1875
30.6875 -96.4375
30.6875 -96.6875
30.6875 -96.8125
30.6875 -96.9375
30.6875 -97.0625
30.6875 -97.1875
30.6875 -97.3125
30.6875 -97.4375
30.6875 -97.5625
30.6875 -97.6875
30.6875 -97.8125
30.6875 -97.9375
30.8125 -96.0625
30.8125 -96.1875
30.8125 -96.3125
30.8125 -96.4375
30.8125 -96.5625
30.8125 -96.6875
30.8125 -96.8125
30.8125 -96.9375
30.8125 -97.0625
30.8125 -97.1875
30.8125 -97.3125
30.8125 -97.4375
30.8125 -97.5625
30.8125 -97.6875
30.8125 -97.8125
30.8125 -97.9375
30.9375 -96.0625
30.9375 -96.1875
30.9375 -96.4375
30.9375 -96.5625
30.9375 -96.9375
30.9375 -97.1875
30.9375 -97.3125
30.9375 -97.4375
30.9375 -97.5625
30.9375 -97.6875
30.9375 -97.8125
30.9375 -97.9375
31.0625 -97.0625
31.0625 -97.1875
31.0625 -97.3125
31.0625 -97.4375
31.0625 -97.5625
31.0625 -97.6875
31.0625 -97.8125
31.0625 -97.9375
31.1875 -97.0625
31.1875 -97.3125
31.1875 -97.4375
31.1875 -97.5625
31.1875 -97.6875
31.1875 -97.8125
31.1875 -97.9375
31.3125 -97.0625
31.3125 -97.1875
31.3125 -97.3125
31.3125 -97.4375
31.3125 -97.5625
31.3125 -97.6875
31.3125 -97.8125
31.3125 -97.9375
31.4375 -97.0625
31.4375 -97.1875
31.4375 -97.3125
31.4375 -97.4375
31.4375 -97.6875
31.4375 -97.8125
31.4375 -97.9375
31.5625 -97.0625
31.5625 -97.1875
31.5625 -97.3125
31.5625 -97.4375
31.5625 -97.5625
31.5625 -97.6875
31.5625 -97.8125
31.5625 -97.9375
31.6875 -97.0625
31.6875 -97.1875
31.6875 -97.3125
31.6875 -97.4375
31.6875 -97.5625
31.6875 -97.6875
31.6875 -97.8125
31.8125 -97.0625
31.8125 -97.1875
31.8125 -97.3125
31.8125 -97.4375
31.8125 -97.5625
31.8125 -97.6875
31.8125 -97.8125
31.9375 -97.0625
31.9375 -97.1875
31.9375 -97.3125
31.9375 -97.4375
31.9375 -97.5625
31.9375 -97.6875
31.9375 -97.8125
31.9375 -97.9375
